,id,Profession,annee_sour,source,Professi_1,localisati,détail,ind_Nom,indiv_titr,associé_n,successeur,ancienne m,nbre_adres,activités,annee_expo,nom_boutiq,type_rue,article_ru,nom_rue,num_rue,cpltnum_ru,ville_rue,autre_vill,infos_rue,unnamed_1,quart/sect,arrondisse,unnamed_2,unnamed_3,geocoder_t,geocoder_s,a_corriger,lon,lat,address,type_1,properties.city_1,properties.oldcity_1,properties.street_1,properties.postalcode_1,properties.number_1,properties.inseecode_1,properties.housenumberinfos_1,properties._score_1,properties._type_1,geometry.type_1,geometry.lng_1,geometry.lat_1,properties.housenumberinfos.date_1,properties.housenumberinfos.source_1,properties.housenumberinfos.kind_1,properties.housenumberinfos.otherpositions_1
30,30,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"couraud, louis",,,,,,tissus mérinos et schals imprimés en gros,,,place,des,victoires,9,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34155287906553,48.8655954974377,9  place des victoires,Feature,Paris 2e Arrondissement,[],place des victoires,75002,9,"['75102', '75']",,1.0,address,Point,2.341702,48.865791,2019-11-05,ign,entrance,
31,31,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,degnernel,,,,,,fab,,,rue,du,petit hurleur,4,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3507339282009503,48.864329567647495,4  rue du petit hurleur,Feature,Paris 5e Arrondissement,[],rue du petit pont,75005,4,"['75105', '75']",,0.592476489028213,address,Point,2.346377,48.852576,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.346274', '48.852619']}}]"
32,32,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"delafosse, b & cie",,,,,,"fabr en laines mérinos, cachemires et gazes",,,rue,,saint apolline,20,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35288685448687,48.8691923982379,20  rue  saint apolline,Feature,Paris 3e Arrondissement,[],rue sainte-apolline,75003,,"['75103', '75']",,0.7818181818181817,address,Point,2.354827,48.868715,,,,
33,33,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,delance,,,,,,fab,,,rue,,saint denis,367,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35182653222216,48.8685777094793,367  rue  saint denis,Feature,Paris 2e Arrondissement,[],rue saint-denis,75002,,"['75102', '75']",,0.8268398268398267,address,Point,2.350806,48.866191,,,,
34,34,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,delasalle ainé & cie,,,,,,fab façon cachemire,,,rue,,neuve saint eustache,30,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3456984132559304,48.867327712640495,30  rue  neuve saint eustache,Feature,Paris 1er Arrondissement,[],porte saint eustache,75001,,"['75101', '75']",,0.5867768595041322,address,Point,2.345748,48.862829,,,,
35,36,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,delon fils,,,,,,dépôt de schals et madras de leur fab de nismes,,,rue,,neuve saint eustache,34,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3459668864723198,48.8674146573684,34  rue  neuve saint eustache,Feature,Paris 1er Arrondissement,[],porte saint eustache,75001,,"['75101', '75']",,0.5867768595041322,address,Point,2.345748,48.862829,,,,
36,37,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,domantis,,,,,,fab façon cachemire,,,rue,,saint antoine,206,?,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.36528738427066,48.8536953372196,206 ? rue  saint antoine,Feature,Paris 4e Arrondissement,[],rue saint-antoine,75004,,"['75104', '75']",,0.8418972332015809,address,Point,2.364511,48.854164,,,,
37,38,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,derné & dubois,,,,,,fab et magasin de tissus mérinos et schals imprimés,,,rue,du,bouloi,10,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34038269887724,48.863389000385894,10  rue du bouloi,Feature,Paris 1er Arrondissement,[],rue du bouloi,75001,,"['75101', '75']",,0.8484848484848484,address,Point,2.341219,48.863865,,,,
38,39,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,d'hubert,,,,,,,,,rue,,saint denis,370,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35185132670441,48.8681054026753,370  rue  saint denis,Feature,Paris 2e Arrondissement,[],rue saint-denis,75002,,"['75102', '75']",,0.8268398268398267,address,Point,2.350806,48.866191,,,,
39,40,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,dombre & aurivel,,,,,,"schals de laine, madras de leur fabrique de Nismes",,,rue,,pavée saint sauveur,20,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3472050606397996,48.864765960009606,20  rue  pavée saint sauveur,Feature,Paris 2e Arrondissement,[],rue saint - sauveur,75002,20,"['75102', '75']",,0.8051948051948051,address,Point,2.348182,48.866166,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.348343', '48.866431']}}]"
